rowIDs,year,source,authors,title,n.citations,ECC
10725,2004,Handbook of Laboratory Animal Science: Animal â€¦,SJ Schapiro,Animal Models for Human Behavior,0,0
10726,2004,Handbook of Self-determination â€¦,"PH Hawley, CC Henrich",17: Three Views of the Agentic Self: A Developmental Synthesis,0,0
10727,2004,Encyclopedia of applied psychology,DA Kravitz,Affirmative action,6,6
10728,2004,Current pain and â€¦,"DW Dodick, RB Lipton, MD Ferrari, PJ Goadsbyâ€¦",Prioritizing treatment attributes and their impact on selecting an oral triptan: results from the TRIPSTAR Project,17,17
10729,2004,Kinship and behavior in primates,DA Hill,The effects of demographic variation on kinship structure and behavior in cercopithecines,10,10
10730,2004,Bulletin of Mathematical Biology,"M Broom, RM Luther, GD Ruxton",Resistance is useless?â€”extensions to the game theory of kleptoparasitism,44,44
10731,2004,Newsweek,J Adler,The new science of decision making. It's not as rational as you think,3,3
10732,2004,"Seduction, Community, Speech: A Festschrift for â€¦",D Holdcroft,Pragmatics and evolution,0,0
10733,2004,Papers from the 2004 Fall â€¦,"D Buchsbaum, B Blumberg, C Breazeal","Social learning in humans, animals and agents",2,2
10734,2004,The Journal of â€¦,"C Bartholdy, A Stryhn, JP Christensenâ€¦",Single-epitope DNA vaccination prevents exhaustion and facilitates a broad antiviral CD8+ T cell response during chronic viral infection,17,17
10735,2004,Wildlife Research,"J Hampton, JR Pluske, PBS Spencer",A preliminary genetic study of the social biology of feral pigs in south-western Australia and the implications for management,33,33
10736,2004,HortScience,"SA Mehlenbacher, MM Thompson",Inheritance of style color in hazelnut,4,4
10737,2004,The American â€¦,"P Amarasekare, MF Hoopesâ€¦",Mechanisms of coexistence in competitive metacommunities,158,158
10738,2004,â€¦ and environmental safety,"Ã…E Wibe, E Fjeld, G Rosenqvist, BM Jenssen",Postexposure effects of DDE and butylbenzylphthalate on feeding behavior in threespine stickleback,21,21
10739,2004,Annu. Rev. Neurosci.,"TR Insel, RD Fernald",How the brain processes social information: searching for the social brain,653,653
10740,2004,EDIS,"MB Main, G Allen, ME Sunquist",Florida's large carnivores,1,1
10741,2004,American Journal of â€¦,"AC O'Neill, LM Fediganâ€¦",Relationship between ovarian cycle phase and sexual behavior in female Japanese macaques (Macaca fuscata),38,38
10742,2004,NA,H Hansen,"The effects of diet, extraction technique and microsatellite primers on genotyping success and error rates of river otter (Lontra canadensis) faecal DNA",8,8
10743,2004,Proc. Natl. Acad. Sci. USA,B Away,Highlights OF THE Recent Literature,0,0
10744,2004,Rev. Bras. Meteorol,"MD Oyama, CA Nobre",A simple potential vegetation model for coupling with the simple biosphere model (SIB),52,52
10745,2004,Textbook of biological psychiatry,"R Gardner Jr, DR Wilson",Sociophysiology and evolutionary aspects of psychiatry,13,13
10746,2004,Behavioral Ecology,J Carranza,Sex allocation within broods: the intrabrood sharing-out hypothesis,40,40
10747,2004,EFFECTS OF SOCIAL â€¦,RBYDNA MICROSATELLITES,CHAPTER IV MULTIPLE PATERNITY IN WHITE-TAILED DEER (ODOCOILEUS VIRGINIANUS) REVEALED BY DNA MICROSATELLITES 3,0,0
10748,2004,"Land use, nature â€¦","AR Pombo, M Waltert, SS Mansjoerâ€¦","Home Range, Diet and Behaviour of the Tonkean Macaque (Macaca tonkeana) in Lore Lindu National Park, Sulawesi",25,25
10749,2004,The Auk,CRJ Boland,"Breeding Biology of Rainbow Bee-Eaters (Merops Ornatus): A Migratory, Colonial, Cooperative Bird",39,39
10750,2004,People and nature: wildlife â€¦,"SLG Nogueira-Filho, SSC Nogueira",Captive breeding programs as an alternative for wildlife conservation in Brazil,54,54
10751,2004,â€¦,American Association for the Advancement of â€¦,Straining to Improve,0,0
10752,2004,â€¦,American Association for the Advancement of â€¦,Functional Diversity and Composting,0,0
10753,2004,â€¦,American Association for the Advancement of â€¦,Triggering RNA Interference,0,0
10754,2004,â€¦,American Association for the Advancement of â€¦,Distant Energy Transfer Between Molecules,0,0
10755,2004,â€¦,American Association for the Advancement of â€¦,Autophagy in Health and Disease,0,0
10756,2004,â€¦,American Association for the Advancement of â€¦,The Metallic Secret of Deinococcus radiodurans' Success,0,0
10757,2004,â€¦,American Association for the Advancement of â€¦,Dynamic Instability in Plasmid Segregation,0,0
10758,2004,â€¦,American Association for the Advancement of â€¦,Black Hole Noise Deciphered,0,0
10759,2004,â€¦,American Association for the Advancement of â€¦,Ins and Outs of Hydrogen Storage,0,0
10760,2004,â€¦,American Association for the Advancement of â€¦,Examining the Needle,0,0
10761,2004,Behavioral â€¦,"A Fabiani, F Galimberti, S Sanvitoâ€¦","Extreme polygyny among southern elephant seals on Sea Lion Island, Falkland Islands",98,98
10762,2004,Reading Research Quarterly,DA Wagner,"Literacy (ies), culture (s), and development (s): The ethnographic challenge",28,28
10763,2004,Oikos,"D Bos, J Van De Koppel, FJ Weissing",Darkâ€bellied Brent geese aggregate to cope with increased levels of primary production,56,56
10764,2004,NA,WC Branch,The views and opinions expressed in this publication are those of the authors and do not necessarily reflect those of the Commonwealth Government or the â€¦,0,0
10765,2004,International Journal of Primatology,"TJ Bergman, JC Beehner",Social system of a hybrid baboon group (Papio anubisÃ— P. hamadryas),56,56
10766,2004,Behavioral Ecology and â€¦,"SA Wahaj, RC Van Horn, TL Van Hornâ€¦",Kin discrimination in the spotted hyena (Crocuta crocuta): nepotism among siblings,89,89
10767,2004,Animal Behaviour,"J Ostner, PM Kappeler","Male life history and the unusual adult sex ratios of redfronted lemur, Eulemur fulvus rufus, groups",83,83
10768,2004,Journal of Human Ecology,RJ Gregory,Linking Insiders with Outsiders: Going to and Beyond the Edges of Human Ecology,0,0
10769,2004,NA,"JK Hughes, PJ Valdes, RA Betts",Dynamical properties of the TRIFFID dynamic global vegetation model,13,13
10770,2004,International Journal of Primatology,"CM Schaffner, JA French",Behavioral and endocrine responses in male marmosets to the establishment of multimale breeding groups: evidence for non-monopolizing facultative polyandry,39,39
10771,2004,Laboratory â€¦,"NJ Schultz-Darken, RM Papeâ€¦",Novel restraint system for neuroendocrine studies of socially living common marmoset monkeys,27,27
10772,2004,Stress,K Kendrick,"Stress, anxiety and depression (SAD)",0,0
10773,2004,Behavioral Ecology,"DDP Johnson, P Stopka, DW Macdonald",Ideal flea constraints on group living: unwanted public goods and the emergence of cooperation,47,47
10774,2004,Psychological â€¦,"T Pyszczynski, J Greenberg, S Solomonâ€¦",Why do people need self-esteem? A theoretical and empirical review.,1748,1748
10775,2004,Advances in the Study of Behavior,J Heinze,Reproductive conflict in insect societies,66,66
10776,2004,Animal health and â€¦,"S Waiblinger, J Baumgartnerâ€¦",Applied ethology: the basis for improved animal welfare in organic farming,38,38
10777,2004,Psychoneuroendocrinology,"HW Cheng, WM Muir",Chronic social stress differentially regulates neuroendocrine responses in laying hens: II. Genetic basis of adrenal responses under three different social conditions,53,53
10778,2004,Annu. Rev. Ecol. Evol. Syst.,"SY Strauss, RE Irwin",Ecological and evolutionary consequences of multispecies plant-animal interactions,526,526
10779,2004,Journal of Avian Biology,"W P. Brown, R R. Roth",Juvenile survival and recruitment of wood thrushes Hylocichla mustelina in a forest fragment,39,39
10780,2004,Crop science,"SU Larsen, C Andreasen, P Kristoffersen",Differential sowing time of turfgrass species affects the establishment of mixtures,20,20
10781,2004,Ursus,"CT Robbins, CC Schwartz, LA Felicetti",Nutritional ecology of ursids: a review of newer methods and management implications,130,130
10782,2004,VI International Congress on â€¦,"TJ Molnar, JC Goffreda, CR Funk",Developing hazelnuts for the eastern Unites States,31,31
10783,2004,Williamsport: Lycoming College,NT Holmes,The Effects of Rosgen Style Trout Habitat Restoration on Trout Populations and Microhabitat Selection on Big Bear Creek,2,2
10784,2004,Ethology,"MJ Haskell, NCA Coerse, PAE Taylorâ€¦",The Effect of Previous Experience Over Control of Access to Food and Light on the Level of Frustrationâ€Induced Aggression in the Domestic Hen,13,13
10785,2004,Oikos,"N BlÃ¼thgen, N E. Stork, K Fiedler",Bottomâ€up control and coâ€occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic,253,253
10786,2004,Peace and Conflict,R Joseph,A template for assessing cultures of peace,26,26
10787,2004,NA,PK Yochem,Contingency plan for Hawaiian monk seal: unusual mortality events,5,5
10788,2004,Landscape research,DB Nuttall,An animal-as-client (AAC) theory for zoo exhibit design,10,10
10789,2004,BUJ Sci. & Tech. L.,SW Brenner,Toward a criminal law for cyberspace: distributed security,92,92
10790,2004,Dialogues in clinical neuroscience,BS McEwen,Structural plasticity of the adult brain: how animal models help us understand brain changes in depression and systemic disorders related to depression,67,67
10791,2004,NA,AP Grand,Post-agonistic Tolerance of Rhesus Macaque (Macaca Mulatta) Victims by Bonded and Non-bonded Partners,0,0
10792,2004,Cube Farm,B Blunden,Vanishing Act,0,0
10793,2004,NA,BR Laseter,Sociospatial characteristics and genetic structure of white-tailed deer in the Central Appalachians of West Virginia,7,7
10794,2004,Kinship and behavior in primates. Oxford: Oxford â€¦,JM Dietz,Kinship structure and reproductive skew in cooperatively breeding primates,24,24
10795,2004,Encyclopedia of Animal Science (Print),DC Lay Jr,Environment: Effects on Animal Health,0,0
10796,2004,International Journal of â€¦,"S Bartha, G Campetella, R Canullo, J BÃ³disâ€¦",On the importance of fine-scale spatial complexity in vegetation restoration studies,70,70
10797,2004,â€¦ of Entomological Research-Nov. 5-7 â€¦,"M Agrahari, R Gadagkar",Division of labour and its regulation in a primitively eusocial wasp,0,0
10798,2004,Mind,P Millican,The one fatal flaw in Anselm's argument,66,66
10799,2004,Science of aging â€¦,"O Rueppell, GV Amdam, RE Page Jrâ€¦",From genes to societies,32,32
10800,2004,Ecology of Freshwater Fish,T Yamamoto,"Sexâ€specific growth pattern during early life history in masu salmon, Oncorhynchus masou",14,14
10801,2004,Proceedings of the 27th Annual Teaching Public â€¦,"J Mills, JA Wandell",Gender and Communication Style: What public administrators know and need to know,2,2
10802,2004,Behavioral Ecology and Sociobiology,DA Williams,Female control of reproductive skew in cooperatively breeding brown jays (Cyanocorax morio),56,56
10803,2004,The New York Times,N Angier,Built for the arctic: a species' splendid adaptations,4,4
10804,2004,NA,J Kawai,Phonological analysis of casual Japanese speech in optimality theory,1,1
10805,2004,Clinical psychology review,"LJ Luecken, KS Lemery",Early caregiving and physiological stress responses,275,275
10806,2004,Cell and tissue â€¦,"E RingÃ¸, F Jutfelt, P Kanapathippillai, Y Bakkenâ€¦",Damaging effect of the fish pathogen Aeromonas salmonicida ssp. salmonicida on intestinal enterocytes of Atlantic salmon (Salmo salar L.),115,115
10807,2004,Young Consumers,B Young,The growing consumer,30,30
10808,2004,Bird Study,GM Siriwardena,"Possible roles of habitat, competition and avian nest predation in the decline of the Willow Tit Parus montanus in Britain",24,24
10809,2004,Memorias del III Congreso â€¦,"JM Barbosa, IT MendonÃ§a","Comportamento social e crescimento em alevinos de Parachromis managuensis (GÃ¼nther 1867)(Pisces, Cichlidae): uma espÃ©cie introduzida no Brasil. En: DE â€¦",1,1
10810,2004,Primates,"K Liebal, S Pika, M Tomasello",Social communication in siamangs (Symphalangus syndactylus): use of gestures and facial expressions,108,108
10811,2004,Journal of Comparative Psychology,"C Schradin, N Pillay","The Striped Mouse (Rhabdomys pumilio) from the succulent karoo, South Africa: a territorial group-living solitary forager with communal breeding and helpers at the â€¦",167,167
10812,2004,acta ethologica,"D Frigerio, K Hirschenhauser, E MÃ¶stl, J Dittamiâ€¦",Experimentally elevated testosterone increases status signalling in male Greylag geese (Anser anser),9,9
10813,2004,The American midland naturalist,"KE Francl, SB Castleberry, WM Ford",Small mammal communities of high elevation central Appalachian wetlands,28,28
10814,2004,Neuroscience & Biobehavioral Reviews,CP Wiedenmayer,Adaptations or pathologies? Long-term changes in brain and behavior after a single exposure to severe threat,75,75
10815,2004,Transactions of the American â€¦,"RH Hilderbrand, JL Kershner",Are there differences in growth and condition between mobile and resident cutthroat trout?,42,42
10816,2004,Poultry science,"J VÃ¤isÃ¤nen, P Jensen",Responses of young red jungle fowl (Gallus gallus) and White Leghorn layers to familiar and unfamiliar social stimuli,29,29
10817,2004,Vogelwarte,TWP Friedl,Breeding behaviour of the Red Bishop (Euplectes orix): a synthesis and new observations,19,19
10818,2004,â€¦ in Bighorn Canyon â€¦,"KA Schoenecker, FJ Singerâ€¦","Bighorn sheep (Ovis canadensis) survivorship and habitat studies in Bighorn Canyon National Recreation Area and surrounding lands, Wyoming and Montana â€¦",1,1
10819,2004,NA,H HelanterÃ¤,Kinship and conflicts over male production in Formica ants,8,8
10820,2004,"JyvÃ¤skylÃ¤ studies in education, psychology and social â€¦",MC Ruiz,Anger and optimal performance in karate: An application of the IZOF Model,16,16
10821,2004,Psychosomatic medicine,"KF Harris, KA Matthews",Interactions between autonomic nervous system activity and endothelial function: a model for the development of cardiovascular disease,223,223
10822,2004,NA,JA Esterhuizen,"Towards the development of a protocol for rearing juvenile rock lobster, Jasus lalandii",5,5
10823,2004,NA,NR London,Statistical theory and methods for mapping gender affected genes and QTL,2,2
10824,2004,Behavioural brain research,"JB Panksepp, R Huber",Ethological analyses of crayfish behavior: a new invertebrate system for measuring the rewarding properties of psychostimulants,62,62
10825,2004,NA,M Brumm,Space allocation decisions for grow-finish facilities,1,1
10826,2004,American Journal of â€¦,"M Huck, P LÃ¶ttker, EW Heymann",Proximate mechanisms of reproductive monopolization in male moustached tamarins (Saguinus mystax),49,49
10827,2004,Journal of Zoology,"CA Belcher, JP Darrant","Home range and spatial organization of the marsupial carnivore, Dasyurus maculatus maculatus (Marsupialia: Dasyuridae) in southâ€eastern Australia",85,85
10828,2004,American Journal of â€¦,"CS Jamison, M Wallaceâ€¦","Contemporary work characteristics, stress, and ill health",30,30
10829,2004,Aggression and violent behavior,"RS Griffin, AM Gross",Childhood bullying: Current empirical findings and future directions for research,711,711
10830,2004,Sport histories: figurational studies of the â€¦,"E Dunning, G Curry","Public schools, status rivalry and the development of football",14,14
10831,2004,Sexual selection in primates â€¦,"PM Kappeler, CP van Schaik",Sexual selection in primates: review and selective preview,54,54
10832,2004,Revista de â€¦,"NPO Pinto, N Gobbi, FB Noll, MAH Pennaâ€¦","CoexistÃªncia interespecÃ­fica em Mischocyttarus Saussure (Hymenoptera: Vespidae, Mischocyttarini) durante a fase inicial de desenvolvimento de um ninho",3,3
10833,2004,Journal of Avian Biology,"WP Brown, RR Roth",Nordic Society Oikos,0,0
10834,2004,NA,MS Perez-Lopez,Body image dissatisfaction and appearance-related anxiety in a college and community sample,0,0
10835,2004,Transactions of the Society of Instrument and â€¦,"Q Wei, T Sawaragi",A Social View to Multiagent Reinforcement Learning,3,3
10836,2004,Animal Behaviour,"Z Barta, A Liker, F MÃ³nus",The effects of predation risk on the use of social foraging tactics,68,68
10837,2004,NA,M Akit,Pedestrian experiences in BahÃ§elievler 7th Street,0,0
10838,2004,Tropical animal health and production,"J Abraham, AK Chhabra","Effect of Early Weaning, Split-Weaning and Nursery Feeding Programmes on the Growth of LandraceÃ— Desi Pigs",8,8
10839,2004,Functional Ecology,"S Einum, IA Fleming","Does within-population variation in egg size reduce intraspecific competition in Atlantic Salmon, Salmo salar?",27,27
10840,2004,Advances in insect chemical ecology,"C Gemeno, C Schal",Sex pheromones of cockroaches,45,45
10841,2004,â€¦ Biochemistry and Physiology Part A: Molecular â€¦,"BW Patullo, DL Macmillan",The relationship between body size and the field potentials generated by swimming crayfish,8,8
10842,2004,Behaviour,"P Sicotte, A Macintosh",Inter-group encounters and male incursions in Colobus vellerosus in central Ghana,83,83
10843,2004,â€¦ : Proceedings of the â€¦,"J Cirillo, A Lorenz, F Veitâ€¦",MIRROR DIRECTED BEHAVIOURS OF BOTTLENOSE DOLPHINS TESTED IN A LARGE OPEN-SEA ENCLOSURE,0,0
10844,2004,Concepts and Transformation,J Shotter,"The manufacture of personhood, and the institutionalization of mutual humiliation",4,4
10845,2004,Journal of Comparative Psychology,"GD Reynolds, R Lickliter",Modified prenatal sensory stimulation influences postnatal behavioral and perceptual responsiveness in bobwhite quail chicks (Colinus virginianus).,12,12
10846,2004,Linguistic Inquiry,B Tesar,Using inconsistency detection to overcome structural ambiguity,81,81
10847,2004,NA,M Allen,The Effect of Different Weaning Strategies on Piglet Performance and Immune Function,0,0
10848,2004,Chi.-Kent L. Rev.,EA O'Hara,Apology and thick trust: What spouse abusers and negligent doctors might have in common,51,51
10849,2004,Encyclopedia of energy,"TH Kunz, KS Orrell","Reproduction, energy costs of",16,16
10850,2004,Journal of the â€¦,"OF Lazareva, AA Smirnovaâ€¦",Transitive responding in hooded crows requires linearly ordered stimuli,101,101
10851,2004,Nature,HT Chugani,Fine-tuning the baby brain,9,9
10852,2004,Brazilian Journal of Biology,"A Vasconcellos, GG Santana, AK Souza","Nest spacing and architecture, and swarming of males of Dinoponera quadriceps (Hymenoptera, Formicidae) in a remnant of the Atlantic forest in Northeast â€¦",26,26
10853,2004,NA,L Kauffman,No Easy Answers: Male-male Relationships of Surinamese Brown Capuchins as a Result of Complex Interactions and Multiple Variables,2,2
10854,2004,The Nature of Reasoning,DD Cummins,EVOLUTION AND BASIC INDUCTIVE PROCESSES,0,0
10855,2004,NA,P Collett,The Book of Tells: How to Read People's Minds from Their Actions,82,82
10856,2004,NA,"MC Appleby, JA Mench, BO Hughes",Poultry behaviour and welfare,349,349
10857,2004,The well-being of farm animals: Challenges and â€¦,T Grandin,Principles for handling grazing animals,7,7
10858,2004,NA,AB Sollinger,Memory for emotional events in individuals with autism spectrum disorders,2,2
10859,2004,Journal of animal â€¦,"D Baum, R Laughton, JD Armstrongâ€¦",Altitudinal variation in the relationship between growth and maturation rate in salmon parr,68,68
10860,2004,NA,EN Hoerl,"Foraging strategies, use of space and aggressive behavior of domestic fowl (Gallus gallus domesticus)",2,2
10861,2004,Apidologie,"WE Kerr, H Jungnickel, ED Morgan",Workers of the stingless bee Melipona scutellaris are more similar to males than to queens in their cuticular compounds,37,37
10862,2004,Behavioral Ecology and Sociobiology,P Buston,Does the presence of non-breeders enhance the fitness of breeders? An experimental analysis in the clown anemonefish Amphiprion percula,56,56
10863,2004,Physical Education & Sport Pedagogy,K Green,"Physical education, lifelong participation and 'the couch potato society'",106,106
10864,2004,Kinship and behavior in primates,"L Rodseth, R Wrangham",Human kinship: A continuation of politics by other means,54,54
10865,2004,Transactions of the â€¦,"C Bessey, RH Devlin, NR Lileyâ€¦",Reproductive performance of growth-enhanced transgenic coho salmon,80,80
10866,2004,Journal of Animal â€¦,"DW Yu, HB Wilson, ME Fredericksonâ€¦",Experimental demonstration of species coexistence enabled by dispersal limitation,70,70
10867,2004,Minimality effects in syntax,H Lee,Minimality in a lexicalist Optimality Theory,7,7
10868,2004,NA,KR Walkup,Applied primatology: species-specific behavior of captive Japanese macaques (Macaca fuscata) under varying zoo conditions and in the wild,0,0
10869,2004,Visualization and Data â€¦,"S Thakur, K Borner, K Maneâ€¦",Content coverage of animal behavior data,4,4
10870,2004,Hormones and behavior,"C Touma, R Palme, N Sachser",Analyzing corticosterone metabolites in fecal samples of mice: a noninvasive technique to monitor stress hormones,347,347
10871,2004,NA,A Kramer,To the Graduate Council: I am submitting herewith a thesis written by Lauren Dawn Cox entitled â€œEffects of group composition and mating season on the â€¦,0,0
10872,2004,â€¦ and Evolution of Cooperative Breeding in â€¦,RA JOHNSTONE,ROBERT D. MAGRATH,0,0
10873,2004,Clinical psychology review,M Christopher,A broader view of trauma: A biopsychosocial-evolutionary view of the role of the traumatic stress response in the emergence of pathology and/or growth,260,260
10874,2004,Behaviour,"S Awata, M Kohda",Parental roles and the amount of care in a bi-parental substrate brooding cichlid: the effect of size differences within pairs,44,44
10875,2004,Journal of Experimental â€¦,"O Chomsky, Y Kamenir, M Hyams, Z Dubinskyâ€¦",Effects of feeding regime on growth rate in the Mediterranean Sea anemone Actinia equina (Linnaeus),24,24
10876,2004,International Workshop on â€¦,"C Collberg, A Huntwork, E Carterâ€¦","Graph theoretic software watermarks: Implementation, analysis, and attacks",55,55
10877,2004,Journal of Nonverbal Behavior,"RW Sternglanz, BM DePaulo",Reading nonverbal cues to emotions: The advantages and liabilities of relationship closeness,67,67
10878,2004,Sociological Theory,"J Savage, S Kanazawa",Social capital and the human psyche: why is social life â€œcapitalâ€?,22,22
10879,2004,NA,KO Stanley,Efficient evolution of neural networks through complexification,247,247
10880,2004,NA,FM Walker,"Sociobiology inferred from relatedness structure via remotely-collected DNA in southern hairy-nosed wombats, Lasiorhinus latifrons",16,16
10881,2004,NA,LD Cox,Effects of Group Composition and Mating Season on the Agonisitic and Affiliative Behavior of Rhesus Macaques (Macaca mulatta),0,0
10882,2004,Flow Cytometry â€¦,"L Liu, BZ Packard, MJ Brown, A Komoriyaâ€¦",Assessment of lymphocyte-mediated cytotoxicity using flow cytometry,16,16
10883,2004,Conservation Genetics,"S Yamamoto, K Morita, I Koizumi, K Maekawa",Genetic differentiation of white-spotted charr (Salvelinus leucomaenis) populations after habitat fragmentation: spatialâ€“temporal changes in gene frequencies,281,281
10884,2004,Ecology and Evolution â€¦,"SJ SCHOECH, SJ REYNOLDSâ€¦",interactions characteristic of cooperative breeders. LH & FSH,0,0
10885,2004,Kinship and behavior in primates,K Hawkes,"Mating, parenting, and the evolution of human pair bonds",98,98
10886,2004,NA,"BA Berejikian, MJ Ford",Review of relative fitness of hatchery and natural salmon,75,75
10887,2004,NA,Y Smith,Aspects of the behaviour of the African lion (Panthera leo) in an extreme environment,0,0
10888,2004,Aggressive Behavior: Official Journal of the â€¦,RB D'Eath,Consistency of aggressive temperament in domestic pigs: The effects of social experience and social disruption,57,57
10889,2004,The senses of fish,F Ladich,Sound production and acoustic communication,89,89
10890,2004,â€¦ of Primatology: Official Journal of the â€¦,"AH Korstjens, R NoÃ«","Mating system of an exceptional primate, the olive colobus (Procolobus verus)",23,23
10891,2004,The American â€¦,"T Wenseleers, AG Hartâ€¦",When resistance is useless: policing and the evolution of reproductive acquiescence in insect societies,137,137
10892,2004,Journal of â€¦,"JF Benson, MJ Chamberlainâ€¦",Land Tenure and Occupation of Vacant Home Ranges by Bobcats (Lynx rufus),30,30
10893,2004,Journal of Insect Physiology,"SC Panaitof, MP Scott, DW Borst",Plasticity in juvenile hormone in male burying beetles during breeding: physiological consequences of the loss of a mate,40,40
10894,2004,Journal of Environmental â€¦,"L Barbaro, T Dutoit, F Anthelme, E Corcket",Respective influence of habitat conditions and management regimes on prealpine calcareous grasslands,40,40
10895,2004,NA,R Dennis,Effects of marks on aggression and stress in the domestic fowl (Gallus gallus domesticus),1,1
10896,2004,Theory and Research on â€¦,"DT Robinson, CL Rogalinâ€¦",Physiological measures of theoretical concepts: Some ideas for linking deflection and emotion to physical responses during interaction,26,26
10897,2004,NA,"R Ghizzioli, S Nouyan, M Birattari, M Dorigo",An ant-based algorithm for the dynamic task allocation problem,5,5
10898,2004,Deep Sea Research Part II: Topical â€¦,"DL Mackas, WT Peterson, JE Zamon",Comparisons of interannual biomass anomalies of zooplankton communities along the continental margins of British Columbia and Oregon,121,121
10899,2004,Journal of Experimental Marine Biology and Ecology,B Santelices,"A comparison of ecological responses among aclonal (unitary), clonal and coalescing macroalgae",62,62
10900,2004,Journal of Crustacean Biology,GC Jensen,"Status of Eualus Pusiolus in the Northeastern Pacific, with a Description of a New Species of Eualus (Decapoda: Hippolytidae)",8,8
10901,2004,Journal of â€¦,"R Kortet, A Vainikka, MJ Rantalaâ€¦","In vitro embryo survival and early viability of larvae in relation to male sexual ornaments and parasite resistance in roach, Rutilus rutilus L.",36,36
10902,2004,Journal of Bioeconomics,C Boehm,What makes humans economically distinctive? A three-species evolutionary comparison and historical analysis,44,44
10903,2004,NA,KD Wilcock,Hunting and gathering in the corporate tribe,9,9
10904,2004,â€¦ Disorders Review: The â€¦,"KM Vitousek, FP Manke, JA Grayâ€¦",Caloric restriction for longevity: IIâ€”The systematic neglect of behavioural and psychological outcomes in animal research,48,48
10905,2004,Close Relationships: Key Readings,W Shakespeare,READING 6 Social Perception and Interpersonal Behavior: On the Self-Fulfilling nature of Social Stereotypes,0,0
10906,2004,NA,"R Houser, MADC Ham",Gaining power and control through diversity and group affiliation,10,10
10907,2004,Canadian Journal of Fisheries and Aquatic â€¦,DA Crook,Movements associated with home-range establishment by two species of lowland river fish,53,53
10908,2004,NA,C Bertram,Routledge philosophy guidebook to Rousseau and the social contract,207,207
10909,2004,NA,O Lepage,Dietary L-Tryptophan Suppresses Aggression and Stress Responsiveness in Juvenile Rainbow Trout (Oncorhynchus mykiss): The Role of Brain Serotonin and â€¦,1,1
10910,2004,Theoretical population biology,"S Bowles, H Gintis",The evolution of strong reciprocity: cooperation in heterogeneous populations,902,902
10911,2004,Waterbirds,MH Reynolds,"Habitat use and home range of the Laysan Teal on Laysan Island, Hawaii",13,13
10912,2004,Jurnal Masyarakat dan Budaya,J Wuisman,Realisme Kritis: Pemahaman Baru Tentang Penelitian Ilmu Sosial,1,1
10913,2004,Ecological Modelling,"CC Wilmers, WM Getz",Simulating the effects of wolf-elk population dynamics on resource flow to scavengers,61,61
10914,2004,Handbook of evolution,"PA Corning, FM Wuketits, C Antweiler",The evolution of politics,19,19
10915,2004,Journal of controlled â€¦,"V Snoeck, N Huyghebaert, E Cox, A Vermeireâ€¦",Gastrointestinal transit time of nondisintegrating radio-opaque pellets in suckling and recently weaned piglets,59,59
10916,2004,Animal behaviour,"C Lopez-Vaamonde, JW Koning, WC Jordanâ€¦",A test of information use by reproductive bumblebee workers,13,13
10917,2004,NA,VDJ Anderson,Creatures of empire: How domestic animals transformed early America,485,485
10918,2004,NA,A Jolly,"Lords and lemurs: mad scientists, kings with spears, and the survival of diversity in Madagascar",51,51
10919,2004,NA,G Arenson,Ego state therapy with an abused child: a case study.,1,1
10920,2004,The Cognitive Neurosciences,BS McEwen,Bruce S. McEwen,0,0
10921,2004,Behavioral Ecology and Sociobiology,"ACC Wilson, RK Grosberg","Ontogenetic shifts in fusionâ€“rejection thresholds in a colonial marine hydrozoan, Hydractinia symbiolongicarpus",21,21
10922,2004,NA,"TL Hulsey, CJ Frost",Moral cruelty: Ameaning and the justification of harm,7,7
10923,2004,NA,SM Dloniak,Socioendocrinology of spotted hyenas: patterns of androgen and glucocorticoid excretion within a unique social system,6,6
10924,2004,Environmental Modelling: Finding â€¦,"J Wainwright, M Mulligan",Pointers for the future,7,7
10925,2004,Kinship and Behavior in Primates,"H Kinship, A Continuation","Our aim in this chapter is to describe and analyze the most common patterns of human kinship. In the anthropological literature, these patterns are often â€¦",0,0
10926,2004,NYU Rev. L. & Soc. Change,L Rosenthal,The Crime Drop and the Fourth Amendment: Toward an Empirical Jurisprudence of Search and Seizure,25,25
10927,2004,"BC Ministry of Water, Land and Air â€¦","L Roorda, R Wright, W Branch","Quesnel Highland Wolf Project Progress Report July 1, 2001â€“March 31, 2004",0,0
10928,2004,Journal of Political â€¦,"N Persico, A Postlewaiteâ€¦",The effect of adolescent experience on labor market outcomes: The case of height,724,724
10929,2004,NA,D Lawman,Illustrated Dictionary of Anthropology,8,8
10930,2004,NA,RM Sapolsky,"Why zebras don't get ulcers: The acclaimed guide to stress, stress-related diseases, and coping",3736,3736
10931,2004,Environmental Biology of Fishes,"B Kynard, E Parker","Ontogenetic behavior and migration of Gulf of Mexico sturgeon, Acipenser oxyrinchus desotoi, with notes on body color and development",45,45
10932,2004,NA,M Cook,Lords of Creation,3,3
10933,2004,NA,A Bellow,In praise of nepotism: A history of family enterprise from King David to George W. Bush,213,213
10934,2004,Journal of Experimental â€¦,"J Herberholz, MM Sen, DH Edwards",Escape behavior and escape circuit activation in juvenile crayfish during preyâ€“predator interactions,84,84
10935,2004,The Biological Bulletin,DL Ferrell,Fitness Consequences of Allorecognition-Mediated Agonistic Interactions in the Colonial Hydroid Hydractinia [GM],10,10
